MACAddress,phoneDN,modelNumber,versionID,hardwareRevision,serialNumber,DHCPEnabled,DHCPServer,IPAddress,SubNetMask,DefaultRouter,DNSServer1,DNSServer2,DNSServer3,DomainName,AltTFTP,TFTPServer1TFTPServer2,CallManager1,CallManager2,CallManager3,CallManager4,CallManager5VLANId,AdminVLANId,CDPNeighborDeviceId,CDPNeighborIP,CDPNeighborPort,LLDPNeighborDeviceId,LLDPNeighborIP,LLDPNeighborPort,PortSpeed
B07D47D2A7A2,1015974309,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19248ZUW,Yes,10.202.3.17,10.208.78.26,255.255.255.0,10.208.78.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-A01-AS01-N.net.svm.com,10.207.78.4,GigabitEthernet4/0/20,,,,"Full, 1000"
B07D47D3134E,1015976809,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19249GXD,Yes,10.202.3.17,10.208.80.121,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet2/0/14,,,,"Full, 1000"
B07D47D2B250,1015972137,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19249113,Yes,10.202.3.17,10.208.80.114,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet3/0/45,,,,"Full, 1000"
B07D47D37346,1015974010,CP-8851,sip88xx.11-0-1-11,V01,FCH1925985Z,Yes,10.202.3.17,10.208.79.24,255.255.255.0,10.208.79.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-B01-AS02-N.net.svm.com,10.207.79.4,GigabitEthernet1/0/7,,,,"Full, 1000"
B07D47D2AB22,1015975979,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19249082,Yes,10.202.3.17,10.208.76.36,255.255.255.0,10.208.76.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM711-A01-AS01-SW.net.svm.com,10.207.76.4,GigabitEthernet2/0/12,,,,"Full, 1000"
B07D47D2B10A,1015971328,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH192490WA,Yes,10.202.3.17,10.208.80.124,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet2/0/16,,,,"Full, 1000"
B07D47D3DAF8,1015971992,CP-8851,sip88xx.11-0-1-11,V01,FCH1927875P,Yes,10.202.3.17,10.208.80.118,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet3/0/5,,,,"Full, 1000"
B07D47D386E6,1015975878,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19259TLZ,Yes,10.202.3.17,10.208.80.119,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet3/0/7,,,,"Full, 1000"
0C1167634104,1015971363,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH20088EBE,Yes,10.202.3.17,10.208.80.108,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet2/0/40,,,,"Full, 1000"
B07D47D37106,1015977905,CP-8851,sip88xx.11-0-1-11,V01,FCH192597XH,Yes,10.119.3.17,10.208.80.110,255.255.255.0,10.208.80.1,10.119.3.17,10.202.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet2/0/42,,,,"Full, 1000"
